Main Category,Sub Category
Namkeen,", Agra Sev, Bhadran Moong, Bhakharwadi, Bhavnagri Gathiya, Bhel Puri, Bombay Mix, Butter Bhakhar, Chanadal, Channa Chor, Cheese Sev, Dal Muth, Diet Chevda, Dry Bhakharwadi, Dry Kachori, Dry Samosa, Farli Chevdo, Instant Bhel, Khatmith Mix, Lilo Chevdo, Madrasi Mix, Malbari Sev, Masala Rice Chakri, Methi Khakhra, Mini Bhakharwadi, Rajwadi Mix, Suko Lilo Chevdo, Sweet Sakarpara, Tomato Sev, Wheat Chakri, Wheat Chevda, Bombay Chevda, Lilo Dry Chevdo, Cheese Wafer, Fulwadi, Masala Wafer, Methi Sakarpara, Pepper Wafer, Roasted Soyabean, Tomato Wafer, Yellow Wafer"
Biscuits & Cookies,", Ajwain Cookies, Atta Toast, Butter Cookies, Cashew Cookies, Chocoden’s Cookies, Chocolate Cookies, Chocolate Cream Roll, Farali Cookies, Fruit Cookies, Jeera Salted Cookies, Mango Cream Roll, Nankhatai, Oatmeal Cookies, Rich Dryfruit Cookies, Rich Nankhatai, Shrewsbury Cookies, Sugar Free Cookies, Whole Wheat Cookies, Atta Khari, Butter Khari, Cheese Khari, Jeera Khari, Masala Bites, Methi Khari"
Dry Fruits & Seeds,", Almond Cashew Mix, Almonds American, Almonds Platinum, Almonds Roasted, Anjeer Ramu, Apricot Dry, Black Raisins, Cashewnuts, Cashewnuts Pepper, Cashewnuts Roasted, Apricot Dry, Black Raisins, Cashewnuts, Cashewnuts Pepper, Cashewnuts Roasted, Dates Blue Pearl, Flaxseed, Pista Irani, Walnut Premium, Walnut (Akhrot), Freeze Dried Green Peas, Freeze Dried Mango, Freeze Dried Strawberry, Frezze Dried Kiwi, Green Raisins Chaman"
Mukhwas,", Aarsi (Flax Seeds), Chandni Mukhwas, Chips Sopari, Culkatti Pan Mukhwas, Dadam Vati, Dhraksh Vati, Dry Pan, Emali Chocolate, Falsa Vati, Fatafat, Golden Mukhwas, Hing Vati, Pachan Aamla, Panchuri Varilali, Peper Vati, Phudina Vati, Pineapple Vati, Rajbhog, Soonth Vati, Spicy Amboliya, Spl Mukhwas, Sweet Mango"
Spices & Herbs,", Achar Masala, Amla Powder, Aum Fresh Amla Powder, Biryani Masala, Black Pepper Powder, Chaat Masala, Chives Flakes, Chole Masala, Desert Spice Mix, Dhana Powder, Dried Chopped Garlic, Dry Ginger Powder, Dry Mango Powder, Garam masala, Garlic Powder, Gati Chilli Powder, Ginger Powder, Golkeri Masala, Green Chilli Flakes, Green Garlic, Hing Powder Super, Kitchen King Masala, Moringa Leaf Powder, Onion Powder, Oregano, Panipuri Masala, Parsley, Pavbhaji Masala, Red Chilli Flakes, Resham Kashmiri, Sambhar Masala, Secret Garam Masala, Spinach Powder, Sweet Neem Flakes, Tulsi Flakes, Turmeric Powder, Turmeric Selam, Turmeric Super, Undhiya Masala"
Instant Mixes,", Almond Delight, Chocolate Cake, Dabeli Masala, Dal Wada, Gulab Jamun, Khaman, Instant Dal Khichdi Mix, Instant Bharli Vangi Mix, Instant Diet Moong Salad Mix, Instant Matki Usal Mix, Instant Sheera Mix, Instant Thalipeeth Mix, Instant Tomato Omelette Mix, Instant Upma Mix, Instant Zunka Mix, Masala Amboli, Methi Thepla, Moong Sheera"
Beverages,", Aam Panna Syrup, Cocoa Powder, Cold Relief Tea, Ginger Lime Syrup, Hot Chocolate Powder, Hridya Tea, Jamun Syrup, Khus Syrup, Kokam Syrup, Masala Chai, Memory Tea, Nidrakar Tea, Pachak Tea, Revive Badam, Revive Banana, Revive Cappunccino, Revive Choco Fudge, Revive Coffee, Revive Gulkand, Revive Premium, Revive Vanilla, Rose Syrup, Sandhivata Tea, Shwas Tea, Skin Glow Tea, Stress Free Tea, Sundarikalp Tea, Tamarind Syrup, Vajikaran Tea, Variyali Syrup"
"Atta, Grains & Pulses",", Besan, Chocolate Cake, Dal Wada, Gulab Jamun, Khaman, Methi Thepla, Rajgara Flour, Rajwadi Whole Wheat Atta, Rice Flour, Sharbati Wheat Floor, Whole Wheat Atta"
Masala & Mixes,", Achar Masala, Amla Powder, Aum Fresh Amla Powder, Barley Grass Powder, Biryani Masala, Black Pepper Powder, Cajun Spice Mix, Chaat Masala, Chicken Masala, Chives Flakes, Chole Masala, Dabeli Masala, Dhana Powder, Dry Ginger Powder, Dry Mango Powder, Fish Fry Mix, Garam masala, Garlic Granules, Garlic Powder, Gati Chilli Powder, Ginger Powder, Golkeri Masala, Hing Powder Super, Kamal HOT, Kitchen King Masala, Meat Masala, Onion Powder, Panipuri Masala, Pavbhaji Masala, Rajashthani Green coriander, Resham Kashmiri, Sambhar Masala, Sandwich Chutney Mix, Sandwich Masala, Secret Garam Masala, Spinach Powder, Turmeric Powder, Turmeric Powder Rajapuri, Turmeric Selam, Turmeric Super, Undhiya Masala, Wheat Grass Powder"
Mithai / Sweets,
Pickles,
Dal/Pulses,",Toor Dal,Chana Dal,Moong Dal,Moong Whole,Moong Fada,Urad,Urad Dal,Chana,Toor,Val,Kabuli Chana,Rajma,Peas ( Vatana ),Chola,Masoor,Masoor Dal,Mix Dal & Mix Whole Pulses,Grocery"
