Main Category,Category,Sub Category
Vegetables & Fruits,Vegetables,None
Vegetables & Fruits,Fruits,None
Vegetables & Fruits,Organic,None
Grocery & Staples,Pooja Needs,"Incense Sticks,Dhoop"
Grocery & Staples,Grains (Whole),"Wheat (Gehu),Rice,Basmati Rice,Bajri,Makai (Maize),Jowar,Soyabean ,Peanuts"
Grocery & Staples,Dals & Pulses,"Dals,White Peas (Mutter),Green Peas (Mutter),"
Grocery & Staples,Flours & Sooji,"Atta (Wheat),Besan,Maida,Cornflour,Bajri Flour,Jowar Flour,Sooji & Rava,Soyabean Flour,Crack Wheat Kansar,Handvo Flour,Moraiyo,Ragi Flour,Rice Flour,Sabudana (Sago),Maize Flour,Farali Flour,Crack Wheat Lapssi,Gota Flour,Urad Flour,Mathiya Flour,Khatta Dhokla Flour,Bhakhri Flour,Khaman Flour,Kanki Kormu,Jav Flour,Other Flours"
Grocery & Staples,Oil & Ghee,"Groundnut Oil,Cotton Seed Oil,Corn Oil,Ghee (Pure),Cow Ghee,Vegetable Ghee,Olive Oil,Mustard Oil,Sesame Oil,Soyabean Oil,Rice Bran Oil,Sunflower Oil,Frying Oil,Castor Oil,Palmolive Oil,Vanaspati Oil"
Grocery & Staples,Spices & Masala,"Whole Spices,Tal Black ( Sesame Black),Khajur Amli Powder,Kachori Masala,Noodles Masala,Punjabi Vegetable Masala"
Grocery & Staples,Salt & Sugar,"Black Salt,Salt,Sugar Free,Jaggery,Sugar,Sugar Powder,Sindhav Salt (Rock Salt)"
Grocery & Staples,Papad,Papad
Grocery & Staples,Paste & Chutney,"Red Curry Paste,Chutney,Tamarind Paste,Ginger Paste,Ginger Garlic Paste,Garlic Paste,Pastes"
Grocery & Staples,Pickles,Pickles
Grocery & Staples,Hot Drinks,"Coffee,Tea"
Grocery & Staples,Flakes & Mamra,"Rice Flakes,Maize Flakes (Corn Flakes),Puffed Rice"
Grocery & Staples,Mukhwas,None
Grocery & Staples,Health Foods,"Honey,Chyawnprash,Nutrition And Supplements"
Grocery & Staples,Noodles & Pasta,"Noodles,Vermicelli,Pasta"
Grocery & Staples,Spreads & Sauces,"Ketchup,Sauces,Jam,Jelly"
Grocery & Staples,Preparation Ingredients,"Vinegar,Custard Powder,Coconut Milk,Baking Powder,Boric Powder,Ajinomoto,Baking Soda,Coco Powder,Syrup,Eating Soda,Dinkh (Gundar)"
Grocery & Staples,Frozen Fruits & Foods,None
Grocery & Staples,Dry Fruits,"Peanuts,Almonds (Badam),Apricots,Cashew,Dried Dates,Figs,Plain Pista,Raisins,Salted Pista,Walnut Kernels,Walnut with shell,Black Raisins"
Grocery & Staples,Match Box,Match Sticks
Beauty & Personal Care,Skin Care,None
Beauty & Personal Care,Hair Care,None
Beauty & Personal Care,Oral Care,None
Beauty & Personal Care,Shaving,None
Beauty & Personal Care,Baby Care,None
Beauty & Personal Care,Lip Care,None
Beauty & Personal Care,Eye Care,None
Beauty & Personal Care,Sanitary Napkins,None
Beauty & Personal Care,Deos & Perfumes,None
Beauty & Personal Care,OTC Medicines,None
Beverages,Soft Drink,None
Beverages,Health Drink,None
Beverages,Fruit Juice,None
Beverages,Fruit Drink,None
Beverages,Energy Drink,None
Beverages,Lemon Drink,None
Beverages,Ready Mix For Drink,None
Beverages,Soda Water,None
Beverages,Mineral Water,None
Beverages,Mocktail,None
Home Care & House Hold,Cleaning Accessories,Spin Mop
Home Care & House Hold,Detergents & Soaps,None
Home Care & House Hold,Utensil Cleaners,None
Home Care & House Hold,"Toilet, Floor & Other Cleaners",None
Home Care & House Hold,Mosquito Repellent & Accessories,None
Home Care & House Hold,Freshners & Deodrants,None
Home Care & House Hold,Household Insecticides,None
Home Care & House Hold,Electricals,None
Home Care & House Hold,Pet Care,None
Home Care & House Hold,Aluminium Foil & Cling Wrap,None
Home Care & House Hold,Shoe Care,None
Home Care & House Hold,Home Furnishing,None
Home Care & House Hold,Kids Furnishing,None
Home Care & House Hold,Kitchenware,None
Home Care & House Hold,Home Improvement,None
Home Care & House Hold,Home Decor,None
Organic Products,Organic Cereals,None
Organic Products,Organic Cereals Based,None
Organic Products,Organic Ghee,None
Organic Products,Organic Healthy Foods,None
Organic Products,Organic Tea,None
Organic Products,Organic Edible Oil,None
Organic Products,Organic Pulses & Dals,None
Organic Products,Organic Spices & Masala,None
Organic Products,Organic Sugar Products,None
Organic Products,Organic Processed Products,None
Food Products,Sweets & Farsan,"Sweet,Ready to eat,Farsan,Namkeen,Cerels"
Food Products,Chocolates & Confectionery,"Chocolates,Confectionery"
Food Products,Dairy Products,"Butter & Creams,Cheese,Paneer,Curds & Buttermilk,Milk,Ice Cream,Yogurt & Lassi,Milk Powder,Milk Shake,Flavoured Milk,Milk Product"
Food Products,Bakery Products,"Biscuits/Cookies,Toast/Rusk,Khari Biscuits,Bread ,Buns & Pavs,Cakes/Pastry"
Food Products,Ready to Cook,"Instant Mix,Soups,Ready Meals,Popping Corn (Popcorn Maize)"
Food Products,Imported Chocolate,None
