,create_Date,last_update, Price ,sales,app_name,Created_by, usd , total , inr-tot ,
0,07-Mar-19, 7 Mar 19, $44 ,1,Binder - Tinder Dating clone App with admin panel - IOS,dinosoftlabsthemes, $70.00 , $44.00 ," ? 3,080.00 ",
1,07-Mar-19, 7 Mar 19, $29 ,1,Video Utility App - iOS,elsnertechnologies, $70.00 , $29.00 ," ? 2,030.00 ",
2,07-Mar-19, 7 Mar 19, $15 ,1,iMoji Maker,lilian_erhan, $70.00 , $15.00 ," ? 1,050.00 ",
3,07-Mar-19, 7 Mar 19, $39 ,1,PlayTube IOS - Sharing Video Script Mobile IOS Native Application,DoughouzLight, $70.00 , $39.00 ," ? 2,730.00 ",
4,07-Mar-19, 7 Mar 19, $14 ,1,Wild Cube (IOS) Fun Arcade Game Template + easy to reskine + AdMob,KartoFun, $70.00 , $14.00 , ? 980.00 ,
5,07-Mar-19, 7 Mar 19, $15 ,0,Jelly Sea,OrangeStudioMain, $70.00 , $-   , ? -   ,
6,07-Mar-19, 8 Mar 19, $23 ,0,iPhone Restaurant eCommerce Mobile App,freebizoffer, $70.00 , $-   , ? -   ,
7,07-Mar-19, 7 Mar 19, $19 ,0,Super one punch coins - iOS Xcode 10 + Admob,QUESTO_PLAY, $70.00 , $-   , ? -   ,
8,07-Mar-19, 7 Mar 19, $23 ,0,Multi Purpose Component Based iOS App Template,HaraldBregu, $70.00 , $-   , ? -   ,
9,07-Mar-19, 7 Mar 19, $10 ,0,iOS ElectricCalc App,drawmk, $70.00 , $-   , ? -   ,Grand_total_INR
10,25-Feb-19, 2 Mar 19, $64 ,7,Restaurant Food Delivery & Ordering System With Delivery Boy - iOS,dinosoftlabsthemes, $70.00 , $448.00 ," ? 31,360.00 "," ? 18,68,41,915.00 "
11,25-Feb-19, 25 Feb 19, $49 ,2,Parachute Jumper,TapTapStudio, $70.00 , $98.00 ," ? 6,860.00 ",
12,25-Feb-19, 25 Feb 19, $22 ,1,JellyFish Escape - Xcode Project & Buildbox Game Template,RgzStudioTeam, $70.00 , $22.00 ," ? 1,540.00 ",
13,25-Feb-19, 7 Mar 19, $15 ,0,The Maze (IOs) Fun Puzzle Game Template + easy to reskine + AdMob,KartoFun, $70.00 , $-   , ? -   ,
14,25-Feb-19, 25 Feb 19, $14 ,1,Sushi Master,OrangeStudioMain, $70.00 , $14.00 , ? 980.00 ,
15,25-Feb-19, 25 Feb 19, $34 ,1,Tattoo World,vora_harikrushna, $70.00 , $34.00 ," ? 2,380.00 ",
