create_Date,last_update,Price,sales,app_name,Created_by
07-Mar-19, 7 Mar 19,$19,0,Golpo - A story reading platform with admob and push notifications,Kunjo-software-lab
07-Mar-19, 7 Mar 19,$29,20,Video/Image/Gif/Quote App With Earning sytem (Reward points),virmana
07-Mar-19, 7 Mar 19,$8,9,4K/HD Wallpapers Android (Google Material Design + Admob + Firebase Push Noti + PHP Backend) 1.1,Panacea-Soft
07-Mar-19, 7 Mar 19,$24,1,Sticker Maker for WhatsApp - WAStickerApps Android,IBLInfotech
07-Mar-19, 7 Mar 19,$40,0,Flirt - Firebase Dating App,SunnyAnand
07-Mar-19, 7 Mar 19,$89,0,HiFive Chat App Pro,alpha_apps
25-Feb-19, 7 Mar 19,$14,15,Wallpapers Android App - Admob Ready,zarsaeed
25-Feb-19, 25 Feb 19,$25,3,Clone Whatsapp Messenger  PRO - AdMob & GDPR,KINGDOV
25-Feb-19, 25 Feb 19,$89,4,InstaUnfollow - Instagram Unfollower Tool (Admob & Firebase & GDPR),MobiCube
25-Feb-19, 25 Feb 19,$22,3,Fire Sites | Native Android Multi-category & Multi-site WebView App with Firebase Back-end,loser-leo
25-Feb-19, 25 Feb 19,$14,2,Android Video Status app + Admob ready,zarsaeed
25-Feb-19, 25 Feb 19,$24,0,call recorder,i_tech
25-Feb-19, 25 Feb 19,$299,0,ISS ICO - Complete Initial Coin Offering Solution With Admin panel & Mobile App & Landing Page,cdibrandstudio
25-Feb-19, 25 Feb 19,$25,0,GoMedia - Multi Artist Music and Video Android App with Backend,madovercoding
25-Feb-19, 25 Feb 19,$54,4,Giftly - Android Rewards App,AwesomeDeveloper
25-Feb-19, 25 Feb 19,$19,1,All In One ProGuide - Guide - Tips - Tricks With Admob,DDR16
21-Feb-19, 20 Feb 19,$34,3,Coffee House Android Multipurpose application with Admin Panel and Driver App,Galaxy1344
21-Feb-19, 20 Feb 19,$19,0,WordCounter - Count Words,EypCnnxx
21-Feb-19, 20 Feb 19,$24,5,Android Turbo Cleaner - Booster, Battery Saver & Notification Manager
21-Feb-19, 20 Feb 19,$34,4,Lockscreen4u - Hd Wallpapers & Custom Lockscreen,harisfarooq12
21-Feb-19, 7 Mar 19,$28,6,Soundboard with Share|Set as Tone|Favorite,Awoapp
21-Feb-19, 20 Feb 19,$15,0,Genie Expense Tracker,bluegenietechnologies
19-Feb-19, 7 Mar 19,$24,3,Endless Quiz with Admin Panel and Firebase Realtime,morningstarcode
