create_Date,last_update,Price,sales,app_name,Created_by
07-Mar-19, 7 Mar 19,$19,3,Block Puzzle (Admob + GDBR + Android Studio),gradle
07-Mar-19, 7 Mar 19,$19,2,Sudoku Classic,gradle
07-Mar-19, 7 Mar 19,$16,0,Color Switch - BBDOC Buildbox + AdMob + Easy Reskin,TheYashChouhan
07-Mar-19, 7 Mar 19,$22,0,New Game Sky Adventure -Android Action,TaylorAB
07-Mar-19, 7 Mar 19,$20,0,Pop Star Dress Up Games For Kids + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$20,0,College Girl Dress Up For Kids + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$20,0,Rock Star Dress Up Game For Kids + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$59,0,Wild Cube (Buildbox) Fun Arcade Game Template + easy to reskine + AdMob,KartoFun
07-Mar-19, 7 Mar 19,$14,0,Wild Cube (Android) Fun Arcade Game Template + easy to reskine + AdMob,KartoFun
07-Mar-19, 7 Mar 19,$28,1,Super Bilbo Adventure Template Buildbox + Android + Ads Admob,mobiecool
07-Mar-19, 7 Mar 19,$19,0,Stack Box with Admob banner and Interstitial,TheYashChouhan
07-Mar-19, 7 Mar 19,$23,0,Moto bike race game with Buildbox Project - share and review button-easy to reskin,ObGames
07-Mar-19, 7 Mar 19,$25,2,Spin Bubble (Android Studio + admob + GDPR),monkey-creative
07-Mar-19, 7 Mar 19,$35,0,Super one punch coins - Buildbox + iOS Xcode 10 + Android Studio + Admob + GDPR + API 27 + Eclipse,QUESTO_PLAY
07-Mar-19, 7 Mar 19,$19,0,Super one punch coins - Android Studio + Admob + GDPR + API 27 + Eclipse,QUESTO_PLAY
07-Mar-19, 7 Mar 19,$25,1,Best Flip Box Tile Puzzle Game For Kids + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$25,1,Tangram Color Puzzle Game For Kids + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$22,0,Buy 1 Get 1 Free - Android + Buildbox,zahragames
07-Mar-19, 7 Mar 19,$299,0,8 Ball Pool - Billiards Multiplayer (Android And iOS),blackrock1991
07-Mar-19, 7 Mar 19,$25,0,Best New Baby Born Care Day Game For Kids + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$25,1,New Circle Box Puzzle Game For Kids + Ready For Sale + Android,iQueen
07-Mar-19, 7 Mar 19,$19,0,Mario in Subway,subdev
07-Mar-19, 7 Mar 19,$16,0,Super Girl Dress Up Game For Kids + Android + Ready For Publish,iQueen
07-Mar-19, 7 Mar 19,$25,0,Bachelor Party Makeover Game For Girls + Ready For Publish + Android,iQueen
07-Mar-19, 7 Mar 19,$25,0,Princess Baby Bath + Best Casual Game For Kids + Android,iQueen
07-Mar-19, 7 Mar 19,$14,0,Rise Up Game Full Project For All Platforms!,subdev
07-Mar-19, 7 Mar 19,$26,1,Edit TANK Forces - Template Buildbox,aminokee
07-Mar-19, 7 Mar 19,$44,0,Ninja Magic Worlds -With BBDOC file -ADMOB banner and interstitial -Share and review button,GameDev96
07-Mar-19, 7 Mar 19,$28,0,Ninja Magic Worlds -Android Studio -ADMOB banner and interstitial -Share and review button,GameDev96
07-Mar-19, 7 Mar 19,$129,0,Bubble Match: Bubble Shooter Match 3 Puzzle Game (Android And iOS),HA-NGUYEN
07-Mar-19, 7 Mar 19,$299,0,Candy Crushing Match 3 - Juice Jam,HA-NGUYEN
07-Mar-19, 7 Mar 19,$25,0,BABY PLANE (android studio+admob+GDPR)Game For Kids - Ready For Publish - Android,Maykle
07-Mar-19, 7 Mar 19,$199,0,Bus Rush - Subway Surfers Multiplayer (Android And iOS),cambob-25
25-Feb-19, 25 Feb 19,$99,0,Magic Piano Tiles + GDPR (Android + IOS),goutaa-32
25-Feb-19, 7 Mar 19,$24,0,Super Trap Adventure ( Android Project + Eclipse + Admob + Bbdoc ),YoYo-Games
25-Feb-19, 25 Feb 19,$25,2,Penguin Jump Escape + Unity Project + IOS and Android,iQueen
25-Feb-19, 25 Feb 19,$25,0,Ninja Stuff Run + Unity Games + IOS and Android,iQueen
25-Feb-19, 7 Mar 19,$15,1,The Maze (Android) Fun Puzzle Game Template + easy to reskine + AdMob,KartoFun
25-Feb-19, 25 Feb 19,$22,2,JellyFish Escape - Android Studio & Eclipse & Buildbox Game Template,RgzStudioTeam
25-Feb-19, 25 Feb 19,$138,0,Mega Bundle 9 Games Android Studio + Admob + GDPR + Eclipse - Run Game,QUESTO_PLAY
25-Feb-19, 25 Feb 19,$23,1,Angel Body Spa & Dress-Up Games For Girls,freebabygames5
25-Feb-19, 25 Feb 19,$26,0,Baby Panda Pet Daycare + AndroidStudio + Admob + Chartboost,freebabygames5
25-Feb-19, 25 Feb 19,$15,1,EMOJI VS BLOCKS WITH ADMOB - ANDROID STUDIO,mensellgames
25-Feb-19, 25 Feb 19,$20,0,EMOJI VS BLOCKS - BUILDBOX PROJECT,mensellgames
25-Feb-19, 25 Feb 19,$45,0,LEARNING KIDS - FULL EDUCATIONAL APP FOR KIDS (ANDROIDE STUDIO),mensellgames
25-Feb-19, 25 Feb 19,$14,1,2D War Game UNITY3D 2018.3,hsyntzgl
25-Feb-19, 25 Feb 19,$59,0,LEARNING KIDS - FULL EDUCATIONAL APP FOR KIDS (BUILDBOX TAMPLATE & ECLIPS ANDROID FILE),mensellgames
25-Feb-19, 25 Feb 19,$35,0,Bubble Ball Shooter - Buildbox + iOS Xcode 10 + Android Studio + Admob + GDPR + API 27 + Eclipse,QUESTO_PLAY
25-Feb-19, 25 Feb 19,$19,1,Bubble Ball Shooter - Android Studio + Admob + GDPR + API 27 + Eclipse,QUESTO_PLAY
