create_Date,last_update,Price,sales,app_name,Created_by
07-Mar-19, 7 Mar 19,$44,1,Binder - Tinder Dating clone App with admin panel - IOS,dinosoftlabsthemes
07-Mar-19, 7 Mar 19,$29,1,Video Utility App - iOS,elsnertechnologies
07-Mar-19, 7 Mar 19,$15,1,iMoji Maker,lilian_erhan
07-Mar-19, 7 Mar 19,$39,1,PlayTube IOS - Sharing Video Script Mobile IOS Native Application,DoughouzLight
07-Mar-19, 7 Mar 19,$14,1,Wild Cube (IOS) Fun Arcade Game Template + easy to reskine + AdMob,KartoFun
07-Mar-19, 7 Mar 19,$15,0,Jelly Sea,OrangeStudioMain
07-Mar-19, 8 Mar 19,$23,0,iPhone Restaurant eCommerce Mobile App,freebizoffer
07-Mar-19, 7 Mar 19,$19,0,Super one punch coins - iOS Xcode 10 + Admob,QUESTO_PLAY
07-Mar-19, 7 Mar 19,$23,0,Multi Purpose Component Based iOS App Template,HaraldBregu
07-Mar-19, 7 Mar 19,$10,0,iOS ElectricCalc App,drawmk
25-Feb-19, 2 Mar 19,$64,7,Restaurant Food Delivery & Ordering System With Delivery Boy - iOS,dinosoftlabsthemes
25-Feb-19, 25 Feb 19,$49,2,Parachute Jumper,TapTapStudio
25-Feb-19, 25 Feb 19,$22,1,JellyFish Escape - Xcode Project & Buildbox Game Template,RgzStudioTeam
25-Feb-19, 7 Mar 19,$15,0,The Maze (IOs) Fun Puzzle Game Template + easy to reskine + AdMob,KartoFun
25-Feb-19, 25 Feb 19,$14,1,Sushi Master,OrangeStudioMain
25-Feb-19, 25 Feb 19,$34,1,Tattoo World,vora_harikrushna
25-Feb-19, 25 Feb 19,$15,2,EMOJI VS BLOCKS WITH ADMOB - IOS XCODE FILE,mensellgames
25-Feb-19, 25 Feb 19,$45,1,LEARNING KIDS - FULL EDUCATIONAL APP FOR KIDS (IOS XCODE FILE),mensellgames
25-Feb-19, 25 Feb 19,$19,0,Bubble Ball Shooter - iOS Xcode 10 + Admob,QUESTO_PLAY
21-Feb-19, 7 Mar 19,$39,17,PixelPhoto IOS - Mobile Image Sharing & Photo Social Network,DoughouzLight
21-Feb-19, 20 Feb 19,$20,1,EasyBite | Restaurant Booking App | iOS Template,webandcrafts
21-Feb-19, 20 Feb 19,$20,0,FRED ADVENTURES WITH ADMOB - IOS XCODE FILE,mensellgames
21-Feb-19, 20 Feb 19,$15,2,SNAKE VS MONSTERS WITH ADMOB - IOS XCODE FILE,mensellgames
21-Feb-19, 20 Feb 19,$49,1,Little Bakery,TapTapStudio
21-Feb-19, 20 Feb 19,$20,2,Snake City Arcade Game Template + Admob (Xcode) - Easy to Reskin - Snake City android game,NiceGame
21-Feb-19, 20 Feb 19,$15,0,Candy Monster,OrangeStudioMain
19-Feb-19, 18 Feb 19,$18,1,TANK Forces -  Ready For Publish + Xcode,aminokee
11-Feb-19, 10 Feb 19,$25,5,Match Pair Learning + IOS Version + Best Kids Puzzle Game,iQueen
11-Feb-19, 10 Feb 19,$25,4,Word Swipe Puzzle Mania + IOS Version + InApp Purchase,iQueen
11-Feb-19, 10 Feb 19,$12,0,‘LocoBar’ Multistore IOS App Templates in Flutter,Galaxy1344
11-Feb-19, 7 Mar 19,$15,6,iWords Search,lilian_erhan
11-Feb-19, 10 Feb 19,$16,8,WhatsApp Direct - Send Message Without Contact iOS Code,IBLInfotech
11-Feb-19, 10 Feb 19,$16,0,Falling Hero Elfy -  Ready For Publish + Xcode,aminokee
11-Feb-19, 10 Feb 19,$21,1,Opposite | iOS Words Puzzle Game Application,xscoder
11-Feb-19, 10 Feb 19,$49,3,Tiny Van,TapTapStudio
11-Feb-19, 10 Feb 19,$25,3,Pizza Delivey + Heyzap + IOS + buildbox+ Easy to Reskin,RogueGames
11-Feb-19, 10 Feb 19,$15,5,Play TV,lilian_erhan
11-Feb-19, 10 Feb 19,$19,0,Quest Story Game,UtilityManDev
