create_Date,last_update,Price,sales,app_name,Created_by
07-Mar-19, 7 Mar 19,$39,1,Progressive Web App For Osclass,rackons2015
25-Feb-19, 25 Feb 19,$19,0,Progressive Web App For Opencart,rackons2015
21-Feb-19, 20 Feb 19,$27,3,PhotoArt - Turn your photos into works of art|Stickers|Memes|Google Admob | Emojis|Filters,dammyk
11-Feb-19, 10 Feb 19,$28,5,Stickers App - Whatsapp Sticker Store,dammyk
19-Jan-19, 19 Jan 19,$20,0,Unit Converter Pro - Xamarin Android,beytullahakyuz
27-Sep-18, 27 Sep 18,$14,0,AssistTouch,MicroFurqan
05-Sep-18, 5 Sep 18,$30,1,Instagram and IGTV Photo Video Downloader,DevzStudio
12-Feb-18, 9 Mar 18,$22,6,Geo Bound,NetLancers
02-Jan-18, 2 Jan 18,$30,12,4 Source Code Tools/Web to PDF Converter/Image to PDF/Move Files to SD Card/Uninstaller Applications,appmobicreator
27-Dec-17, 27 Dec 17,$99,10,Premium Source Code Bundle,TechX1406
16-Dec-17, 15 Dec 17,$22,21,My Safety Guard,NetLancers
28-Nov-17, 27 Nov 17,$49,21,Premium Downloader/MP4 Video Downloader/Uninstaller APPS/Move Files to sdCard/Image to PDF Converter,appmobicreator
17-Nov-17, 17 Nov 17,$199,8,Fake Call/Any Video Downloader/WhatsApp Utility/Story Saver/Socio/Ram Booster and More,TechX1406
16-Aug-17, 16 Aug 17,$19,3,Interview Questions,TechX1406
17-Mar-16, 6 Nov 16,$12,25,Add and Edit My POI: Library,bandst
13-Jan-16, 12 Jan 16,$14,13,MapList Activity,bandst
28-Dec-15, 8 Apr 16,$10,25,Circular ListView,bandst
04-Jun-15, 4 Jun 15,$25,64,Signal Autos - Car Dealership App,robisignals
16-Jan-15, 20 Feb 15,$14,1,EduStart Android App With Admob,RohitMane
11-Oct-14, 11 Oct 14,$15,1,RSS Magic,NocRoom
25-Jun-14, 25 Jun 14,$10,40,List with automatic loading,gearcoresoftware
