create_Date,last_update,Price,sales,app_name,Created_by
07-Mar-19, 7 Mar 19,$29,0,Ecommerce Fashion UI Kit with Flutter,logsearcher
25-Feb-19, 25 Feb 19,$34,0,Alien Racing Game (BBDOC Buildbox 2.2.8) + AdMob + Easy Reskin,simohammmed2016
27-Jan-19, 10 Feb 19,$14,1,Gym GO - Workout App UI Template,mahmoodsaeedi
19-Jan-19, 19 Jan 19,$22,3,Quotes.me Quotes app with Online Backend,petraapps
15-Dec-18, 15 Dec 18,$20,5,EasyBite | Restaurant Booking App | Android Template,webandcrafts
15-Dec-18, 15 Dec 18,$39,14,Fortin On Demand Video Android,mayuri2411
03-Dec-18, 9 Feb 19,$39,16,Quiz Android App + iOS App Template | Quizer (HTML+CSS files IONIC 3),opuslabsin
03-Dec-18, 6 Jan 19,$15,10,Liquid payment concept design,novumlogic
10-Nov-18, 18 Feb 19,$39,89,Flutter E-Commerce UI KIT,JipauDev
10-Nov-18, 9 Nov 18,$40,0,Language Learning - Android App with Bootstrap,whatsconnectup
03-Nov-18, 6 Nov 18,$39,17,Cab Booking Android App Native Template for Both Passenger and Driver (XML Code)  | Cabber,opuslabsin
03-Nov-18, 2 Nov 18,$25,0,Cycleshop - E-commerce Android App Template,itechtheme
23-Oct-18, 22 Oct 18,$25,6,CDI Token - Android ICO Token Buy/Sell App Template,itechtheme
16-Oct-18, 15 Oct 18,$12,3,Android E-Commerce template | Java,Reactiveweb
09-Oct-18, 6 Jan 19,$18,67,CodeX - Android Material UI Templates,uivision666
09-Oct-18, 8 Oct 18,$19,4,Crypto Trade,android-bucket
17-Sep-18, 17 Sep 18,$24,5,Android App Guide Template With Admob Interstitial Ads and GDPR,stevedevelop
05-Sep-18, 5 Sep 18,$39,11,Grocery Store Template,dream_design_5535
29-Aug-18, 29 Aug 18,$25,9,Fortin Salon Appointment,mayuri2411
22-Aug-18, 22 Aug 18,$14,3,Ruchira,androizen_apps
22-Aug-18, 22 Aug 18,$40,21,Coin change - Android Cryptocurrency Exchange Template,itechtheme
22-Aug-18, 22 Aug 18,$12,5,Easy Maintenance Tracker,androizen_apps
08-Aug-18, 5 Sep 18,$23,3,Grocery Store Android App,dream_design_5535
06-Aug-18, 1 Mar 19,$21,149,Awesome Material (Google Android Material Design UI Components and Template Collection) 1.6,Panacea-Soft
27-Jul-18, 27 Jul 18,$28,3,Forest Hunter - Game Adventure - FILE BUILDBOX,aminokee
16-Jul-18, 18 Feb 19,$29,15,Status Saver for Whatsapp Android Template,Kunjo-software-lab
06-Jul-18, 11 Feb 19,$39,30,Grocery Android App + Grocery iOS App Template (HTML + CSS files in IONIC 3) | Grocer,opuslabsin
28-Jun-18, 27 Jun 18,$21,4,Guide For / Tips / Tricks Code New! for Android Studio,ABP24
06-Jun-18, 6 Jun 18,$25,46,Web To App - Android Web View,neurondigital
20-May-18, 19 Feb 19,$15,12,UNIQA E-Commerce: An Android Application Template  for Your Business,W3Engineers
