state,city,local
Andaman & Nicobar Islands,
Andaman & Nicobar Islands,Bakultala
Andaman & Nicobar Islands,Bambooflat, * Tapu Basti
Andaman & Nicobar Islands,Car Nicobar, * AF School Staff Quarters
Andaman & Nicobar Islands,Diglipur
Andaman & Nicobar Islands,Garacharma
Andaman & Nicobar Islands,Hut Bay, * Hut Bay RV * Indira Nagar
Andaman & Nicobar Islands,Kamorta
Andaman & Nicobar Islands,Malacca
Andaman & Nicobar Islands,Mayabunder, * Danpur RV
Andaman & Nicobar Islands,Port Blair, * AAI Colony * AHW Colony * Aberdeen Bazar * Biggie Line * Chakargaon * Coast Guard Enclave * DAG Colony * Delanipur * Haddo * Junglighar * Marine Hill * Nayagaon * Phoenix Bay * Shadipur * Thomas Colony
Andaman & Nicobar Islands,Prothrapur, * Bhathu Basti * CARI Quarters * Kamaraj Nagar * Pathergudda * Ward No 5
Andaman & Nicobar Islands,Rangat, * Bachara Colony
Andaman & Nicobar Islands,Tarasa Island
Andhra Pradesh,
Andhra Pradesh,Achanta, * Gummaluru * Kapulapalem
Andhra Pradesh,Adoni, * Alur * Amaravathi Nagar * Ambedkar Nagar * Aranjyothi Nagar * DC Nagar * HBG Nagar * Hanuman Nagar * Joharpuram * Kachra Basti * Kaligepetta * Kallubhavi Village * Kowdialpet * Kranthi Nagar * Neelakanteswara Colony * Old Town * Rathna * Residential Colony * SBI Colony * SV Colony * Sadapuram * Shair Khan Colony * Shakthi Gudi * Shroff Bazar * Skd Colony * Sukkaravarampetta * TBP Colony * Tirumala Nagar * Ymk Nagar
Andhra Pradesh,Allur, * Allur Pet Village * Nall Vari Tota * North Mopuru * RDR Colony * Uddipa Colony
Andhra Pradesh,Alwal, * Shameerpet * Shamirpet * Venugopalnagar
Andhra Pradesh,Amadalavalasa, * Akkivalasa * Bobbepalli Peta * Krishnapuram * Kuddiram * Mettekkivalasa * Srikakulam Road * Vusavani Peta
Andhra Pradesh,Amalapuram, * Amalapuram R * Bhatnavilli * Edarapalle * K M Agraharam * Konkapalli * Nallamilli * Nandampudi * Sri Rama Nagar
Andhra Pradesh,Anakapalle, * Gandhavaram * Gandhi Nagar * Gavarapalem * Koduru * Koppaka * Laxmi Devi Peta * Narasinga Rao Peta * Pisinikada * Sarada Colony * Satya Sri Nagar * Taraka Rama Colony * Thummapala * Vijayramraju Peta * Woodpete
Andhra Pradesh,Anantapalli
