app_name,publisher,reviwe_rate,review_total,updated_on,downloads,require_android,current_version,size
Photo Video Maker Slideshow with Music Editor,AppDreams Media,4.5,35,"March 29, 2019","10,000+",4.0.3 and up,1.0.3,17M
Mehndi Designs,App Basket,4.3,"1,350","January 14, 2019","500,000+",4.0.3 and up,1.2.1,9.5M
X Launcher New: With OS12 Style Theme & No Ads,Launcher Developer,4.7,"19,574","April 8, 2019","100,000+",5.0 and up,1.5.1,3.5M
X Launcher Lite: With OS11 Style Theme & Wallpaper,Launcher Developer,4.7,"29,300","April 7, 2019","1,000,000+",4.1 and up,1.10.1,4.0M
X Launcher: With OS11 Style Theme & Control Center,Launcher Developer,4.7,"16,183","April 7, 2019","500,000+",4.1 and up,2.6.1,3.8M
U Launcher 3D–New 2019 Theme,Moboapps Dev Team,4.6,"111,974","March 25, 2019","5,000,000+",4.0.3 and up,2.5.2,8.7M
Name Art Photo Editor - Focus n Filters,AppTrends,4.3,"12,537","April 2, 2019","5,000,000+",4.0 and up,1.0.21,13M
Galaxy New Keyboard Theme,Apple Theme,4.1,380,"March 31, 2019","100,000+",4.0.3 and up,6.3.31.2019,14M
Fruit Coloring Book & Learn to Draw Glow,Bkbros Studio,5.0,69,"March 3, 2019","10,000+",4.1 and up,1.0,37M
iLauncher for OS 11 - Stylish Theme and Wallpaper,Launcher Developer,4.7,"28,625","April 7, 2019","1,000,000+",4.1 and up,2.8.1,3.9M
PIP Camera - Photo Editor Effects,Visu Entertainment,4.3,200,"November 14, 2018","100,000+",4.0.3 and up,1.1,9.8M
"U Launcher Lite-New 3D Launcher 2019,Hide apps",Moboapps Dev Team,4.7,"158,626","April 9, 2019","5,000,000+",4.0.3 and up,1.4.2,9.5M
How To Draw Flowers,Creative APPS,4.4,"15,595","December 27, 2018","5,000,000+",4.0.3 and up,1.0.13,9.5M
Hoarding Photo Frames: होर्डिंग फोटो फ्रेम & Hoard,I H Apps Ltd.,4.1,"1,435","February 18, 2019","1,000,000+",4.1 and up,1.0.12,9.1M
Mehndi Designs Latest 2019,livql.co,4.3,296,"March 7, 2019","100,000+",4.0.3 and up,1.1.5,9.2M
Learn How to Draw Cute Dolls,southdeveloppement,4.1,52,"January 14, 2019","10,000+",4.0 and up,1.2.3,8.2M
"Name Art Photo Editor - Focus,Filters",Tri Core,4.4,"6,178","November 28, 2018","1,000,000+",4.0.3 and up,2.5,13M
Photo Video Maker with Music - Video Editor,AppTrends,4.3,"2,026","March 28, 2019","1,000,000+",4.0 and up,1.0.11,19M
Stylish Name Maker,Universal Apps Center,4.4,"4,498","April 6, 2019","1,000,000+",4.0.3 and up,1.0,13M
xxxTENTACION Wallpaper HD,dorapikapp,4.6,459,"January 8, 2019","10,000+",4.0.3 and up,1.2.2,8.3M
PaperColor : Paint Draw Sketchbook & PaperDraw,Colorfit,4.4,"85,298","December 7, 2018","10,000,000+",4.0.3 and up,2.3.6,16M
Galaxy Wallpapers Ultra HD,Goforoid Studio,5.0,23,"September 9, 2018","1,000+",4.4 and up,1.0.1,11M
Men Hair Style - Photo Editor,Droidy Apps,3.7,"1,372","February 20, 2019","100,000+",4.0.3 and up,V2.2.3,22M
Easy Paper Craft Project Ideas,Esmut,4.1,334,"August 25, 2018","100,000+",4.4 and up,1.0,6.6M
Girls Frock Designs,icyarena,4.1,744,"March 2, 2019","100,000+",4.0 and up,1.0.1,10M
How to draw weapons,Udenity,4.5,"8,373","March 14, 2019","1,000,000+",4.0 and up,1.0.7,11M
Easy Steps To Draw Scenery,tikanuraini,3.9,164,"November 29, 2018","50,000+",4.1 and up,1.0,4.9M
Infinite Painter,Infinite Studio Mobile,4.1,"42,525","February 16, 2019","1,000,000+",4.2 and up,6.3.11,43M
Urdu On Picture - Write Urdu Text on Photo,fida.pk,4.2,"4,263","January 1, 2019","1,000,000+",Varies with device,Varies with device,Varies with device
Flower Craft Tutorial,Esmut,4.3,99,"August 19, 2018","50,000+",4.4 and up,2.0,5.7M
Tattoo Maker - Love Tattoo,Droidy Apps,4.0,"2,439","February 15, 2019","1,000,000+",4.0.3 and up,V2.2.4,20M
Beautiful Colorful Flower Theme🌷,Cool Super Theme,4.7,114,"March 1, 2019","5,000+",4.0.3 and up,1.1.1,4.1M
Golden Rose Keyboard Theme,Cool 3D Emoji Keyboard,4.1,"2,811","March 31, 2019","500,000+",4.0.3 and up,6.3.31.2019,14M
Paint Free - Drawing Fun,Beste Apps,4.3,241,"September 5, 2018","100,000+",4.1 and up,2.9,2.3M
Easy Origami Ideas,Sanketika,4.2,"2,833","September 19, 2018","500,000+",4.1 and up,1.2.0,11M
How To Draw Cartoon and Comics Characters,RNdev,4.5,240,"January 1, 2019","10,000+",4.3 and up,1.0,11M
Diy Home Decorating Ideas 2019,MrDevv,4.0,429,"September 21, 2018","100,000+",4.1 and up,3.7,4.1M
Over: Edit & Add Text to Photos,Over,4.0,680,"April 3, 2019","100,000+",6.0 and up,3.9.4,17M
pharaoh & cleopatra,Gems Candy Candy,4.7,206,"January 25, 2019","10,000+",4.0.3 and up,1.0,24M
Art Drawing Ideas,AKU SANTRI,4.0,441,"June 14, 2018","100,000+",2.3 and up,1.0,7.8M
Stylish Name Maker,Skysol apps,4.4,"9,983","August 18, 2018","500,000+",4.0 and up,1.1,10M
Urdu Sticker For Whatsapp RAHI HIJAZI,Arshad zya,4.7,"1,132","February 2, 2019","100,000+",4.0.3 and up,1.3,39M
How To Draw Flowers,Infokombinat,4.5,"1,222","May 24, 2018","100,000+",4.0 and up,1.4,15M
Simple Tribal Tattoo Ideas,daeng,4.3,26,"November 27, 2018","5,000+",2.3 and up,1.0,2.3M
Дизайн интерьера,Zaec Mobile,3.9,205,"March 7, 2019","100,000+",4.1 and up,1.39,4.6M
Beauty Coloring Book - Drawing  Book For Kids,SQPlayer,3.8,22,"January 22, 2019","100,000+",4.4 and up,1.0,23M
Tai Kwun,The Jockey Club CPS Limited,3.6,40,"March 29, 2019","10,000+",4.1 and up,1.1.1,7.7M
stylish name maker 3d,Micro Bots,4.5,356,"April 4, 2019","100,000+",4.1 and up,1.2.3,17M
Paint,ng-labs,4.4,"1,103","June 2, 2018","100,000+",4.0.3 and up,2,"1,016k"
Faster Car Keyboard Theme,2018 Tech Cool Theme for Android,4.5,"2,028","February 21, 2019","100,000+",4.1 and up,1.0,3.8M
