company,models
Ashok Leyland,['Stile']
Aston Martin,"['DB9', 'DBS', 'One 77', 'Rapide', 'V8 Vantage', 'V12 Vantage', 'Vanquish', 'Virage']"
Audi,"['A3', 'A3 Cabriolet', 'A4', 'A6', 'A7', 'A8', 'A8 L', 'Q2', 'Q3', 'Q5', 'Q7', 'R8', 'RS5', 'RS6', 'RS7', 'RS7 Sportback', 'S4', 'S5 Sportback', 'TT']"
BMW,"['1 Series', '3 Series', '3 Series GT', '4 Series', '5 Series', '5 Series GT', '6 Series', '7 Series', 'Gran Turismo', 'M3', 'M5', 'M Series', 'X1', 'X3', 'X5', 'X6', 'Z4', 'Z4 Convertible', 'Z4 Coupe', 'i8']"
Bentley,"['Arnage', 'Azure', 'Bentayga', 'Continental', 'Continental Flying Spur', 'Continental GT', 'Continental GTC', 'Mulsanne']"
Bugatti,['Veyron']
Caterham,['7']
Chevrolet,"['Aveo', 'Aveo UVA', 'Beat', 'Captiva', 'Cruze', 'Enjoy', 'Forester', 'Optra', 'Optra Magnum', 'Optra SRV', 'Sail', 'Sail Hatchback', 'Sail UVA', 'Spark', 'Spark LPG', 'Tavera', 'Tavera Neo', 'Trailblazer']"
DC,['Avanti']
Daewoo,"['Cielo', 'Matiz', 'Nexia']"
Datsun,"['GO', 'Go Cross', 'Go Plus', 'On DO', 'Redi GO', 'RediGo']"
Eicher Polaris,['Multix']
Ferrari,"['458', '488', '599 GTB Fiorano', 'California', 'F12berlinetta', 'F50 Spider', 'FF']"
Fiat,"['500', 'Abarth 595', 'Abarth Punto', 'Adventure', 'Avventura', 'Grande Punto', 'Linea', 'Linea Classic', 'Palio D', 'Palio NV', 'Palio Stile', 'Palio Stile Multijet', 'Petra', 'Petra D', 'Punto', 'Punto Evo', 'Punto Pure', 'Uno']"
Force Motors,"['Force One', 'Gurkha', 'One SUV']"
Ford,"['Classic', 'EcoSport', 'Endeavor', 'Endeavour', 'Escort', 'Fiesta', 'Fiesta Classic', 'Figo', 'Figo Aspire', 'Fusion', 'Ikon', 'Mondeo', 'Mustang', 'New Ikon']"
Hindustan Motors,"['Ambassador', 'Contessa']"
Honda,"['Abc', 'Accord', 'Amaze', 'BRV', 'Brio', 'CRV', 'City', 'City ZX', 'Civic', 'Jazz', 'Mobilio', 'WRV', 'WR V']"
